"Depto","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","provincia"
"Ramallo",33218,33697,34173,34644,35109,35567,36018,36463,36902,37335,37761,38180,38595,39003,39404,"39800","6"
"Rauch",15293,15385,15476,15566,15656,15743,15830,15916,16000,16083,16165,16246,16325,16404,16481,"16557","6"
"Rivadavia",16317,16430,16515,16589,16663,16746,16826,16904,16978,17050,17119,17184,17247,17307,17366,"17421","6"
"Rojas",23630,23705,23779,23852,23924,23995,24065,24134,24203,24269,24336,24401,24465,24529,24591,"24652","6"
"Roque Pérez",12365,12535,12692,12848,13000,13151,13298,13444,13587,13726,13863,13998,14129,14259,14386,"14511","6"
"Saavedra",20918,21028,21135,21242,21346,21449,21551,21651,21750,21847,21943,22037,22130,22221,22311,"22400","6"
"Saladillo",32317,32627,32936,33241,33542,33839,34131,34420,34705,34985,35261,35533,35802,36066,36326,"36583","6"
"Salto",32841,33260,33676,34087,34494,34894,35288,35678,36061,36440,36812,37179,37541,37897,38248,"38594","6"
"Salliqueló",8714,8721,8730,8740,8750,8760,8769,8779,8789,8799,8810,8819,8829,8840,8850,"8860","6"
"San Andrés de Giles",23168,23440,23709,23976,24240,24500,24755,25008,25257,25502,25744,25981,26216,26448,26675,"26899","6"
"San Antonio de Areco",23297,23504,23708,23910,24111,24307,24501,24693,24882,25068,25251,25431,25610,25785,25957,"26128","6"
"San Cayetano",8469,8503,8537,8571,8605,8638,8671,8704,8734,8766,8797,8827,8857,8887,8915,"8945","6"
"San Nicolás",146976,147855,148727,149589,150441,151279,152106,152922,153728,154520,155301,156069,156827,157575,158311,"159037","6"
"San Pedro",59466,59911,60352,60788,61219,61644,62061,62474,62881,63283,63677,64066,64450,64827,65200,"65567","6"
"San Vicente",59510,61374,63222,65051,66856,68634,70388,72118,73825,75506,77161,78791,80398,81983,83544,"85082","6"
"Suipacha",10134,10280,10424,10567,10707,10846,10983,11117,11250,11382,11510,11637,11763,11886,12008,"12128","6"
"Tandil",124631,126170,127689,129214,130718,132199,133659,135101,136522,137922,139300,140657,141996,143314,144614,"145893","6"
"Tapalqué",9238,9330,9421,9510,9598,9686,9772,9856,9940,10022,10103,10183,10262,10340,10416,"10491","6"
"Tordillo",1780,1783,1785,1788,1791,1794,1796,1799,1801,1804,1807,1809,1812,1814,1816,"1818","6"
"Tornquist",12810,12929,13048,13165,13281,13395,13507,13619,13728,13836,13942,14047,14150,14251,14352,"14450","6"
"Trenque Lauquen",43326,43676,44025,44369,44708,45043,45373,45699,46019,46336,46648,46954,47256,47554,47849,"48137","6"
"Tres Arroyos",57497,57502,57510,57520,57533,57543,57556,57572,57590,57611,57634,57660,57689,57720,57754,"57789","6"
"Tres Lomas",8409,8471,8508,8562,8600,8646,8686,8726,8764,8801,8837,8872,8906,8939,8971,"9002","6"
"25 de Mayo",36149,36247,36343,36439,36533,36627,36718,36808,36897,36985,37071,37156,37240,37323,37405,"37485","6"
"Villa Gesell",31845,32499,33147,33788,34421,35044,35660,36266,36865,37454,38034,38606,39170,39726,40273,"40812","6"
"Villarino",31162,31710,32251,32784,33312,33830,34341,34847,35344,35834,36315,36790,37258,37719,38172,"38619","6"
"Zárate",114957,116345,117720,119081,120425,121748,123054,124342,125613,126865,128096,129309,130506,131686,132848,"133993","6"
"Ambato",4599,4602,4606,4610,4614,4617,4621,4625,4628,4631,4634,4638,4641,4645,4648,"4651","10"
"Ancasti",3011,3001,2991,2981,2973,2963,2953,2944,2935,2926,2916,2908,2899,2890,2882,"2874","10"
"Andalgalá",18637,18775,18912,19048,19183,19319,19453,19586,19718,19848,19976,20102,20225,20346,20465,"20579","10"
"Antofagasta de la Sierra",1476,1494,1512,1530,1548,1566,1584,1602,1620,1637,1653,1670,1687,1703,1718,"1734","10"
"Belén",28598,28885,29171,29457,29742,30024,30305,30584,30859,31131,31399,31663,31921,32175,32421,"32660","10"
"Capayán",16505,16727,16950,17171,17392,17611,17829,18045,18258,18470,18678,18882,19082,19278,19469,"19654","10"
"Capital",163831,165837,167839,169833,171818,173792,175753,177700,179628,181531,183406,185250,187057,188824,190547,"192221","10"
"El Alto",3672,3696,3719,3744,3767,3790,3812,3836,3858,3881,3903,3924,3945,3966,3987,"4007","10"
"Fray Mamerto Esquiú",12209,12353,12496,12640,12782,12924,13064,13204,13342,13479,13614,13745,13875,14001,14125,"14246","10"
"La Paz",23262,23462,23660,23859,24057,24253,24448,24641,24834,25023,25209,25392,25572,25748,25918,"26085","10"
"Paclín",4314,4314,4313,4312,4311,4310,4310,4309,4308,4307,4307,4305,4305,4304,4303,"4302","10"
"Pomán",11058,11200,11342,11482,11622,11761,11900,12037,12173,12307,12439,12569,12696,12821,12942,"13060","10"
"Santa María",23200,23287,23374,23460,23546,23633,23718,23802,23886,23969,24050,24130,24209,24286,24361,"24434","10"
"Santa Rosa",12342,12529,12715,12901,13086,13270,13452,13633,13812,13990,14165,14336,14504,14668,14829,"14985","10"
"Tinogasta",23030,23058,23086,23113,23141,23167,23195,23221,23249,23275,23301,23326,23351,23375,23399,"23421","10"
"Valle Viejo",27932,28328,28722,29115,29506,29895,30281,30664,31044,31419,31788,32151,32507,32855,33194,"33525","10"
"Calamuchita",55280,56687,58121,59583,61071,62584,64122,65685,67272,68881,70512,72164,73837,75530,77241,"78970","14"
"Capital",1370585,1379518,1388374,1397130,1405753,1414201,1422453,1430554,1438492,1446201,1453684,1460905,1467867,1474541,1481028,"1487310","14"
"Colón",228332,235051,241916,248927,256076,263380,270852,278434,286115,293944,301889,309982,318211,326575,334971,"343397","14"
"Cruz del Eje",58817,59780,60751,61728,62711,63697,64686,65679,66671,67664,68656,69645,70632,71615,72593,"73564","14"
"General Roca",36260,36703,37147,37589,38032,38472,38910,39345,39776,40203,40626,41043,41454,41859,42257,"42647","14"
"General San Martín",128491,130104,131720,133335,134949,136555,138155,139746,141326,142892,144441,145973,147485,148975,150443,"151884","14"
"Ischilín",32581,32958,33335,33712,34088,34460,34830,35197,35562,35920,36276,36625,36968,37307,37637,"37961","14"
"Juárez Celman",61183,62044,62908,63775,64643,65511,66377,67242,68103,68960,69812,70658,71496,72326,73147,"73958","14"
"Marcos Juárez",105787,106757,107724,108682,109631,110567,111490,112398,113291,114165,115019,115851,116662,117448,118209,"118945","14"
"Minas",4933,4951,4968,4985,5000,5016,5029,5042,5054,5065,5075,5083,5090,5097,5101,"5104","14"
"Pocho",5434,5472,5509,5545,5581,5617,5651,5684,5716,5747,5778,5806,5834,5860,5885,"5908","14"
"Presidente Roque Sáenz Peña",36936,37299,37660,38018,38374,38725,39073,39415,39753,40084,40409,40727,41037,41340,41633,"41918","14"
"Punilla",178438,181781,185161,188574,192018,195488,198982,202497,206031,209578,213136,216702,220275,223850,227422,"230989","14"
"Río Cuarto",251770,254454,257133,259801,262452,265081,267685,270261,272804,275310,277775,280194,282566,284887,287152,"289359","14"
"Río Primero",47029,47706,48385,49068,49751,50435,51118,51800,52481,53159,53832,54501,55165,55825,56476,"57120","14"
"Río Seco",13779,13952,14125,14299,14472,14644,14816,14987,15158,15326,15494,15659,15822,15984,16143,"16300","14"
"Río Segundo",103966,105202,106438,107674,108905,110130,111347,112554,113752,114937,116106,117259,118396,119514,120611,"121685","14"
"San Alberto",37021,37687,38361,39040,39724,40414,41107,41804,42504,43206,43908,44613,45317,46021,46725,"47426","14"
"San Javier",53640,54302,54964,55625,56286,56944,57598,58249,58894,59534,60165,60790,61406,62013,62609,"63195","14"
"San Justo",206874,209103,211328,213545,215749,217935,220101,222244,224361,226448,228501,230517,232495,234432,236323,"238167","14"
"Santa María",99377,101266,103177,105108,107058,109023,111002,112995,114999,117013,119033,121060,123090,125124,127158,"129189","14"
"Sobremonte",4735,4771,4807,4841,4875,4908,4941,4973,5003,5034,5063,5091,5118,5144,5168,"5191","14"
"Tercero Arriba",112947,113867,114778,115680,116570,117444,118302,119143,119964,120764,121541,122294,123022,123723,124397,"125040","14"
"Totoral",18574,18879,19186,19495,19805,20117,20430,20744,21058,21372,21686,22000,22312,22623,22933,"23241","14"
"Tulumba",12958,13079,13198,13317,13435,13552,13667,13781,13892,14001,14108,14213,14314,14413,14510,"14603","14"
"Unión",107298,108400,109499,110593,111678,112754,113816,114868,115905,116924,117925,118906,119867,120804,121717,"122606","14"
